City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Rikitea,PF,69.21,clear sky,-23.1203,-134.9692,People ThankYou
9,Tuktoyaktuk,CA,60.8,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
36,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Mahanoro,MG,67.06,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
53,Cap-Aux-Meules,CA,62.65,few clouds,47.3821,-61.8597,Auberge Madeli
70,Vulcana Bai,RO,63.55,scattered clouds,45.0833,25.3833,Vila Rosu
74,Namibe,AO,65.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
83,Roros,NO,61.18,scattered clouds,62.5747,11.3842,Erzscheidergården
93,Faya,SA,68.11,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
99,Moron,AR,61.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
128,Fortuna,US,65.32,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
150,Asau,RO,66.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
156,Aklavik,CA,67.03,shower rain,68.2191,-135.0107,Aklavik Inn
167,Torbay,CA,68.88,broken clouds,47.6666,-52.7314,Gallows Cove
170,Hamois,BE,61.34,broken clouds,50.3348,5.1512,Au Puits Charmant
175,Birin,NP,64.35,scattered clouds,26.8865,88.0718,Sangam hotel and lodge
188,Erenhot,CN,64.63,moderate rain,43.6475,111.9767,Erenhot Rurouni Youth Hostel
198,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
202,Abong Mbang,CM,68.47,scattered clouds,3.9833,13.1833,Auberge Angle Sur
203,Chapleau,CA,62.69,heavy intensity rain,47.8405,-83.4034,Nemegosenda Lake Lodge
207,Cidreira,BR,63.59,clear sky,-30.1811,-50.2056,Hotel Castelo
212,Lapy,PL,68.25,overcast clouds,52.9911,22.8842,Hotel robotniczy
229,Peniche,PT,69.28,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
238,Novyy Karachay,RU,61.57,broken clouds,43.8208,41.9032,Astoriya Hotel
240,Port Hardy,CA,60.98,fog,50.6996,-127.4199,Airport Inn
