City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
Jamestown,42.097,-79.2353,78.12,81,90,5.99,US,light rain
Rikitea,-23.1203,-134.9692,69.21,54,0,0.89,PF,clear sky
Narsaq,60.9167,-46.05,50.22,84,89,4.76,GL,overcast clouds
Bengkulu,-3.8004,102.2655,75.06,88,9,4.21,ID,clear sky
Santa Cruz,-17.8,-63.1667,89.65,35,20,26.46,BO,few clouds
Mandurah,-32.55,115.7,55.22,69,100,16.53,AU,overcast clouds
Lorengau,-2.0226,147.2712,80.6,76,67,6.67,PG,broken clouds
Bluff,-46.6,168.3333,42.8,72,100,11.79,NZ,light rain
Ossora,59.2353,163.0719,58.15,87,99,5.39,RU,overcast clouds
Tuktoyaktuk,69.4541,-133.0374,60.8,51,40,16.11,CA,scattered clouds
Busselton,-33.65,115.3333,57.09,73,97,15.86,AU,overcast clouds
Tucurui,-3.7661,-49.6725,89.49,39,88,3.33,BR,overcast clouds
Bethel,41.3712,-73.414,85.08,55,40,1.01,US,scattered clouds
Mount Isa,-20.7333,139.5,55.17,38,56,13.8,AU,broken clouds
Arlit,18.7369,7.3853,99.32,27,98,11.41,NE,overcast clouds
Hermanus,-34.4187,19.2345,52.9,57,14,4.81,ZA,few clouds
Lebu,-37.6167,-73.65,52.75,74,98,14.67,CL,overcast clouds
Kapaa,22.0752,-159.319,82.38,85,90,1.99,US,moderate rain
Lodwar,3.1191,35.5973,75.81,63,99,3.44,KE,overcast clouds
Kinablangan,7.6947,126.5503,79.81,70,100,4.88,PH,overcast clouds
Carnarvon,-24.8667,113.6333,59.07,72,100,5.75,AU,overcast clouds
Port Alfred,-33.5906,26.891,54.99,74,0,20.04,ZA,clear sky
Dikson,73.5069,80.5464,37.96,95,100,24.09,RU,overcast clouds
Petropavl,54.8753,69.1628,72.95,58,100,12.8,KZ,overcast clouds
East London,-33.0153,27.9116,55.81,71,0,15.12,ZA,clear sky
Vaini,-21.2,-175.2,75.36,100,20,2.3,TO,few clouds
Atuona,-9.8,-139.0333,78.64,68,50,16.26,PF,scattered clouds
Punta Arenas,-53.15,-70.9167,42.91,70,75,19.57,CL,broken clouds
Lasa,46.6166,10.7002,73.31,92,31,4.27,IT,scattered clouds
Barrow,71.2906,-156.7887,42.82,81,90,4.61,US,light rain
Richards Bay,-28.783,32.0377,55.18,77,19,4.03,ZA,few clouds
Luderitz,-26.6481,15.1594,64.58,30,15,6.49,NA,few clouds
Muroto,33.2833,134.15,77.54,83,100,8.77,JP,overcast clouds
Gondanglegi,-7.7479,112.0132,71.38,88,5,10.11,ID,clear sky
Caravelas,-17.7125,-39.2481,72.81,62,71,10.0,BR,broken clouds
Roebourne,-20.7833,117.1333,70.02,44,100,6.8,AU,overcast clouds
Saint-Philippe,-21.3585,55.7679,67.59,76,65,5.28,RE,broken clouds
New Norfolk,-42.7826,147.0587,45.91,66,91,3.0,AU,overcast clouds
Albany,42.6001,-73.9662,84.02,46,74,1.99,US,broken clouds
Sawakin,19.1059,37.3321,90.21,54,100,4.23,SD,overcast clouds
Mahanoro,-19.9,48.8,67.06,92,100,11.63,MG,moderate rain
Hobart,-42.8794,147.3294,46.26,63,75,3.0,AU,broken clouds
Kaitangata,-46.2817,169.8464,36.16,75,84,4.83,NZ,broken clouds
Velka Bites,49.2884,16.2274,73.27,53,0,9.22,CZ,clear sky
Cape Town,-33.9258,18.4232,53.11,77,8,3.44,ZA,smoke
Port Elizabeth,-33.918,25.5701,55.69,76,40,10.36,ZA,scattered clouds
Mataura,-46.1927,168.8643,42.48,89,100,3.78,NZ,overcast clouds
Adrar,20.5022,-10.0711,94.91,24,60,6.46,MR,broken clouds
Kahului,20.8947,-156.47,83.97,85,40,21.85,US,scattered clouds
Grand Gaube,-20.0064,57.6608,70.2,77,6,1.99,MU,clear sky
Yellowknife,62.456,-114.3525,56.32,54,75,4.0,CA,broken clouds
Iqaluit,63.7506,-68.5145,42.53,87,90,8.05,CA,light rain
Kavaratti,10.5669,72.642,82.22,79,62,18.43,IN,broken clouds
Cap-Aux-Meules,47.3821,-61.8597,62.65,67,20,10.36,CA,few clouds
Georgetown,5.4112,100.3354,84.88,86,20,3.44,MY,few clouds
Chokurdakh,70.6333,147.9167,41.5,75,59,15.55,RU,broken clouds
Challapata,-18.9,-66.7667,52.66,26,0,7.81,BO,clear sky
Butaritari,3.0707,172.7902,83.68,72,100,16.67,KI,overcast clouds
Gat,31.61,34.7642,81.28,100,1,3.24,IL,clear sky
Bozoum,6.3193,16.3799,68.31,95,98,3.98,CF,overcast clouds
Kodiak,57.79,-152.4072,56.71,88,90,4.61,US,overcast clouds
Sapele,5.8941,5.6767,74.26,82,18,3.69,NG,few clouds
Guerrero Negro,27.9769,-114.0611,78.67,59,100,12.5,MX,overcast clouds
Bredasdorp,-34.5322,20.0403,43.92,87,19,2.3,ZA,few clouds
Tasiilaq,65.6145,-37.6368,42.96,98,100,5.08,GL,light rain
Bonthe,7.5264,-12.505,76.3,86,100,7.78,SL,light rain
Pangnirtung,66.1451,-65.7125,49.86,63,100,10.04,CA,overcast clouds
Streator,41.1209,-88.8354,92.23,69,23,3.0,US,few clouds
Urumqi,43.801,87.6005,79.75,28,0,4.47,CN,clear sky
Severo-Kurilsk,50.6789,156.125,55.36,96,48,1.43,RU,scattered clouds
Vulcana Bai,45.0833,25.3833,63.55,74,28,5.19,RO,scattered clouds
Ushuaia,-54.8,-68.3,38.86,87,75,1.14,AR,broken clouds
